granule_ID,orbitProp,pathNr,frameNr,date,startTime,measurement_date,measurement_id,measurement_cornerTriangle,measurement_depth,measurement_temperature,nr_of_measurements,polygon
S1A_IW_SLC__1SDV_20200501T163117_20200501T163144_032374_03BF6D_7E00,ASCENDING,102,213,2020-05-01,2020-05-01T16:31:17.000Z,2020-05-01,"[91, 234, 378]","['AC-27A', 'AC-27B', 'AC-27C']","['240+', '240+', '240+']","[-5.0, -5.0, -5.0]",3,"[[11.646962, 66.311142], [12.631658, 64.724518], [18.076155, 65.195084], [17.43465, 66.798653], [11.646962, 66.311142]]"
S1A_IW_SLC__1SDV_20200429T052957_20200429T053025_032338_03BE26_142D,DESCENDING,66,374,2020-04-29,2020-04-29T05:29:57.000Z,2020-04-29,"[86, 87, 88, 229, 373, 374]","['AC-34A', 'AC-30A', 'AC-29A', 'AC-34B', 'AC-34C', 'AC-30C']","['210', '130', '95', '195', '70', '90']","[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",6,"[[17.251623, 64.29686], [18.24579, 65.941666], [12.552147, 66.423927], [11.901607, 64.762405], [17.251623, 64.29686]]"
S1A_IW_SLC__1SDV_20200429T052933_20200429T053000_032338_03BE26_870B,DESCENDING,66,369,2020-04-29,2020-04-29T05:29:33.000Z,2020-04-29,"[86, 87, 88, 89, 90, 94, 229, 230, 231, 232, 233, 237, 373, 374, 375, 376, 377, 381]","['AC-34A', 'AC-30A', 'AC-29A', 'AC-25A', 'AC-24A', 'AC-26A', 'AC-34B', 'AC-30B', 'AC-29B', 'AC-25B', 'AC-24B', 'AC-26B', 'AC-34C', 'AC-30C', 'AC-29C', 'AC-25C', 'AC-24C', 'AC-26C']","['210', '130', '95', '180', '140', '150', '195', '90', '160', '50', '90', '85', '70', '90', '240+', '210', '150', '130']","[-5.0, -5.0, -5.0, -3.0, -2.0, -3.0, -5.0, -5.0, -5.0, -3.0, -2.0, -3.0, -5.0, -5.0, -5.0, -3.0, -2.0, -3.0]",18,"[[18.175949, 65.81395], [19.233889, 67.397362], [13.188888, 67.898155], [12.50604, 66.295517], [18.175949, 65.81395]]"
S1B_IW_SLC__1SDV_20200428T053705_20200428T053732_021340_02881B_5D6B,DESCENDING,139,369,2020-04-28,2020-04-28T05:37:05.000Z,2020-04-28,"[81, 82, 83, 84, 85, 224, 225, 226, 227, 228, 368, 369, 370, 371, 372]","['AC-23A', 'AC-22A', 'AC-21A', 'AC-31A', 'AC-32A', 'AC-23B', 'AC-22B', 'AC-21B', 'AC-31B', 'AC-32B', 'AC-23C', 'AC-22C', 'AC-21C', 'AC-31C', 'AC-32C']","['80', '190', '200', '150', '240+', '125', '240+', '195', '135', '240+', '95', '240+', '165', '90', '240+']","[-3.0, -1.0, -3.0, -10.0, -1.0, -3.0, -1.0, -3.0, -10.0, -1.0, -3.0, -1.0, -3.0, -10.0, -1.0]",15,"[[16.143467, 65.76619], [17.201527, 67.349251], [11.118939, 67.854767], [10.437464, 66.252327], [16.143467, 65.76619]]"
S1A_IW_SLC__1SDV_20200421T161454_20200421T161521_032228_03BA56_7A2D,ASCENDING,131,214,2020-04-21,2020-04-21T16:14:54.000Z,2020-04-21,"[78, 221, 365]","['AC-36A', 'AC-36B', 'AC-36C']","['125', '90', '130']","[-2.0, -2.0, -2.0]",3,"[[15.511472, 66.647018], [16.519234, 65.061684], [22.052387, 65.537788], [21.398575, 67.140862], [15.511472, 66.647018]]"
S1A_IW_SLC__1SDV_20200405T052956_20200405T053024_031988_03B1D4_B27F,DESCENDING,66,374,2020-04-05,2020-04-05T05:29:56.000Z,2020-04-05,"[75, 76, 218, 219, 362, 363]","['AC-37A', 'AC-38A', 'AC-37B', 'AC-38B', 'AC-37C', 'AC-38C']","['160', '160', '120', '130', '55', '150']","[-15.0, -10.0, -15.0, -10.0, -15.0, -10.0]",6,"[[17.247547, 64.297379], [18.241503, 65.942215], [12.548128, 66.424271], [11.89782, 64.762726], [17.247547, 64.297379]]"
S1A_IW_SLC__1SDV_20200319T052143_20200319T052211_031740_03A919_EA8E,DESCENDING,168,374,2020-03-19,2020-03-19T05:21:43.000Z,2020-03-19,"[73, 74, 216, 217, 360, 361]","['AC-40A', 'AC-41A', 'AC-40B', 'AC-41B', 'AC-40C', 'AC-41C']","['170', '125', '125', '210', '230+', '220']","[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",6,"[[19.262293, 64.240189], [20.252113, 65.885231], [14.576323, 66.365974], [13.92829, 64.704369], [19.262293, 64.240189]]"
S1A_IW_SLC__1SDV_20200226T162303_20200226T162330_031426_039E30_0FF4,ASCENDING,29,213,2020-02-26,2020-02-26T16:23:03.000Z,2020-02-26,"[71, 214, 358]","['AC-33A', 'AC-33B', 'AC-33C']","['170', '90', '70']","[-15.0, -15.0, -15.0]",3,"[[13.616261, 66.428543], [14.608953, 64.842476], [20.082418, 65.314903], [19.436491, 66.918182], [13.616261, 66.428543]]"
S1A_IW_SLC__1SDV_20190408T162258_20190408T162325_026701_02FF59_813C,ASCENDING,29,213,2019-04-08,2019-04-08T16:22:58.000Z,2019-04-08,"[68, 69, 70, 211, 212, 213, 355, 356, 357]","['AC-22A', 'AC-21A', 'AC-23A', 'AC-22B', 'AC-21B', 'AC-23B', 'AC-22C', 'AC-21C', 'AC-23C']","['70', '85', '110', '160', '170', '185', '170', '130', '60']","[nan, -8.0, -10.0, nan, -8.0, -10.0, nan, -8.0, -10.0]",9,"[[13.627923, 66.42997], [14.61993, 64.843697], [20.088903, 65.315361], [19.44342, 66.9188], [13.627923, 66.42997]]"
S1B_IW_SLC__1SDV_20190405T052852_20190405T052919_015667_01D62F_AB56,DESCENDING,66,370,2019-04-05,2019-04-05T05:28:52.000Z,2019-04-05,"[51, 194, 338]","['AC-46A', 'AC-46B', 'AC-46C']","['65', '125', '10']","[-5.0, -5.0, -5.0]",3,"[[17.665813, 65.349564], [18.676449, 66.934875], [12.976946, 67.406326], [12.313036, 65.803841], [17.665813, 65.349564]]"
S1B_IW_SLC__1SDV_20190326T163031_20190326T163059_015528_01D1AE_580B,ASCENDING,102,213,2019-03-26,2019-03-26T16:30:31.000Z,2019-03-26,"[62, 63, 64, 65, 205, 206, 207, 208, 349, 350, 351, 352]","['AC-26A', 'AC-25A', 'AC-24A', 'AC-29A', 'AC-26B', 'AC-25B', 'AC-24B', 'AC-29B', 'AC-26C', 'AC-25C', 'AC-24C', 'AC-29C']","['110', '90', '80', '100', '75', '45', '30', '75', '30', '75', '55', '250']","[-10.0, -10.0, -8.0, -10.0, -10.0, -10.0, -8.0, -10.0, -10.0, -10.0, -8.0, -10.0]",12,"[[11.6624, 66.59687], [12.685252, 64.955521], [17.968599, 65.40757], [17.29454, 67.06604], [11.6624, 66.59687]]"
S1B_IW_SLC__1SDV_20190316T161417_20190316T161447_015382_01CCD7_DDA7,ASCENDING,131,216,2019-03-16,2019-03-16T16:14:17.000Z,2019-03-16,"[66, 209, 353]","['AC-34A', 'AC-34B', 'AC-34C']","['165', '150', '30']","[-4.0, -4.0, -4.0]",3,"[[15.174759, 67.538116], [16.332193, 65.785599], [21.762955, 66.243103], [21.005472, 68.01577], [15.174759, 67.538116]]"
S1A_IW_SLC__1SDV_20190315T162257_20190315T162324_026351_02F27B_D9A4,ASCENDING,29,213,2019-03-15,2019-03-15T16:22:57.000Z,2019-03-15,"[60, 61, 203, 204, 347, 348]","['AC-35A', 'AC-36A', 'AC-35B', 'AC-36B', 'AC-35C', 'AC-36C']","['90', '130', '135', '65', '80', '90']","[-10.0, -10.0, -10.0, -10.0, -10.0, -10.0]",6,"[[13.624704, 66.429634], [14.617026, 64.843292], [20.086441, 65.315117], [19.440695, 66.918655], [13.624704, 66.429634]]"
S1A_IW_SLC__1SDV_20190311T053748_20190311T053815_026286_02F014_12B7,DESCENDING,139,371,2019-03-11,2019-03-11T05:37:48.000Z,2019-03-11,"[52, 53, 54, 195, 196, 197, 339, 340, 341]","['AC-32A', 'AC-27A', 'AC-42A', 'AC-32B', 'AC-27B', 'AC-42B', 'AC-32C', 'AC-27C', 'AC-42C']","['65', '200', '30', '58', '30', '90', '250+', '210', '110']","[-15.0, -15.0, -10.0, -15.0, -15.0, -10.0, -15.0, -15.0, -10.0]",9,"[[15.769403, 65.2864], [16.789257, 66.871422], [10.886627, 67.363823], [10.224997, 65.760796], [15.769403, 65.2864]]"
S1B_IW_SLC__1SDV_20190305T053722_20190305T053749_015215_01C76B_3BE6,DESCENDING,139,374,2019-03-05,2019-03-05T05:37:22.000Z,2019-03-05,"[57, 344, 345]","['AC-38A', 'AC-38C', 'AC-37C']","['35', '45', '45']","[-20.0, -20.0, -17.0]",3,"[[15.229247, 64.307777], [16.189629, 65.895386], [10.468284, 66.380737], [9.841353, 64.776878], [15.229247, 64.307777]]"
S1B_IW_SLC__1SDV_20190305T053658_20190305T053725_015215_01C76B_1C66,DESCENDING,139,369,2019-03-05,2019-03-05T05:36:58.000Z,2019-03-05,"[55, 56, 57, 58, 198, 199, 200, 201, 342, 343, 344, 345]","['AC-33A', 'AC-31A', 'AC-38A', 'AC-37A', 'AC-33B', 'AC-31B', 'AC-38B', 'AC-37B', 'AC-33C', 'AC-31C', 'AC-38C', 'AC-37C']","['65', '50', '35', '30', '10', '50', '80', '40', '40', '50', '45', '45']","[-10.0, -15.0, -20.0, -17.0, -10.0, -15.0, -20.0, -17.0, -10.0, -15.0, -20.0, -17.0]",12,"[[16.108217, 65.76889], [17.164005, 67.352119], [11.095549, 67.855232], [10.415577, 66.252754], [16.108217, 65.76889]]"
