,ID,OG_ID,Triangle,Corner,TriangleCorner,date,SnowDepth,SnowDepth_Noplus,temperature,x_4326,y_4326,x_3006,y_3006,MiddleTime,era5_new_date,era5_plusminus,era5_precip,era5_temp
178,273,286,AC-36,B,AC-36B,2022-03-13,60,60,-5.0,16.76838233,66.0304171,580156.6735,7324430.853,06:57:00,2022-03-14,plus,0.0,-3.6
180,274,287,AC-21,B,AC-21B,2022-03-14,145,145,-1.0,15.58142379,66.32569497,526051.5524,7356334.762,14:24:30,2022-03-15,plus,0.0,-4.5
262,358,376,AC-33,C,AC-33C,2020-02-26,70,70,-15.0,16.08053297,66.03404496,548974.3517,7324126.804,13:17:30,2020-02-27,plus,0.0,-15.1
182,275,288,AC-24,B,AC-24B,2022-03-14,85,85,-2.0,15.75089585,66.21837029,533788.2675,7344453.175,11:30:00,2022-03-15,plus,0.0,-4.5
184,276,289,AC-25,B,AC-25B,2022-03-14,145,145,-2.0,15.92210788,66.22488338,541481.2433,7345282.029,09:48:00,2022-03-15,plus,0.0,-4.5
260,357,375,AC-23,C,AC-23C,2019-04-08,60,60,-10.0,15.40240613,66.19702191,518122.7213,7341929.176,09:52:30,2019-04-09,plus,0.2,-8.0
186,277,290,AC-26,B,AC-26B,2022-03-14,70,70,-6.0,16.06001278,66.19911613,547733.1046,7342508.393,08:07:00,2022-03-15,plus,0.0,-4.5
259,356,372,AC-21,C,AC-21C,2019-04-08,130,130,-8.0,15.54403889,66.2931197,524408.0744,7352688.726,11:40:00,2019-04-09,plus,0.2,-8.0
188,278,291,AC-29,B,AC-29B,2022-03-14,130,130,-8.4,16.13381444,66.1455831,551164.1776,7336600.318,06:34:30,2022-03-15,plus,0.0,-4.5
258,355,371,AC-22,C,AC-22C,2019-04-08,170,170,,15.74886754,66.27024759,533627.8269,7350234.324,14:32:30,2019-04-09,plus,0.2,-8.0
190,279,292,AC-23,B,AC-23B,2022-03-15,170,170,-1.0,15.45909231,66.2246367,520653.0315,7345024.777,10:37:00,2022-03-16,plus,0.0,-5.6
192,280,293,AC-38,B,AC-38B,2022-03-15,95,95,-17.0,16.06601119,65.92904529,548515.1091,7312413.359,07:18:30,2022-03-16,plus,0.0,-5.6
194,281,294,AC-43,B,AC-43B,2022-03-15,35,35,-4.0,15.29647724,66.09173882,513407.6892,7330167.287,07:22:30,2022-03-16,plus,0.0,-5.6
196,282,295,AC-46,B,AC-46B,2022-03-15,125,125,-3.0,15.26675247,66.15918547,512031.4368,7337679.111,08:55:00,2022-03-16,plus,0.0,-5.6
253,341,354,AC-42,C,AC-42C,2019-03-11,110,110,-10.0,15.68504701,65.89042994,531224.7772,7307867.528,13:37:30,2019-03-12,plus,0.0,-14.7
252,340,353,AC-27,C,AC-27C,2019-03-11,210,210,-15.0,15.80351497,66.07257278,536364.3222,7328232.328,10:15:00,2019-03-12,plus,0.0,-14.7
251,339,352,AC-32,C,AC-32C,2019-03-11,250+,250,-15.0,15.94437763,66.0264787,542816.3157,7323183.87,08:15:00,2019-03-12,plus,0.0,-14.7
103,147,155,AC-40,B,AC-40B,2017-03-04,75,75,-9.0,16.17741866,65.87209272,553703.9877,7306156.875,11:12:30,2017-03-05,plus,0.0,-16.8
233,320,333,AC-39,C,AC-39C,2018-03-15,85,85,-15.0,15.99713695,65.85558969,545510.8611,7304175.201,11:19:00,2018-03-16,plus,0.0,-17.6
318,453,25,AC-28,B,AC-28B,2023-03-26,20,20,-8.0,15.93648025,66.15941633,542236.8719,7337994.957,12:52:30,2023-03-27,plus,0.0,-14.2
59,69,74,AC-21,A,AC-21A,2019-04-08,85,85,-8.0,15.49256311,66.32241149,522072.9725,7355934.593,11:40:00,2019-04-09,plus,0.2,-8.0
21,26,28,AC-43,A,AC-43A,2018-03-31,100,100,-10.0,15.25159463,66.12264974,511364.1247,7333603.857,08:52:30,2018-04-01,plus,0.2,-8.9
52,53,55,AC-27,A,AC-27A,2019-03-11,200,200,-15.0,15.71649311,66.07877936,532418.2506,7328876.351,10:15:00,2019-03-12,plus,0.0,-14.7
53,54,56,AC-42,A,AC-42A,2019-03-11,30,30,-10.0,15.76098076,65.90840731,534661.4522,7309911.059,13:37:30,2019-03-12,plus,0.0,-14.7
325,458,30,AC-33,B,AC-33B,2023-03-11,25,25,-20.0,16.12502754,66.06502455,550928.8997,7327614.924,08:50:00,2023-03-12,plus,0.2,-13.9
324,457,29,AC-30,B,AC-30B,2023-03-25,85,85,-10.0,16.3475215,66.10802569,560896.7912,7332605.764,11:32:30,2023-03-26,plus,0.0,-13.6
