granule_ID,orbitProp,pathNr,frameNr,granule_date,startTime,measurement_date,measurement_id,measurement_cornerTriangle,measurement_depth,measurement_temperature,nr_of_measurements,polygon,era5_date
S1A_IW_SLC__1SDV_20180330T052131_20180330T052159_021240_024878_9540,DESCENDING,168,374,2018-03-30,2018-03-30T05:21:31.000Z,2018-03-29,"[173, 317, 30, 25, 26, 312, 313, 168, 169]","['AC-42B', 'AC-42C', 'AC-42A', 'AC-46A', 'AC-43A', 'AC-46C', 'AC-43C', 'AC-46B', 'AC-43B']","['110', '110', '85', '110', '100', '90', '80', '110', '40']","[-10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0]",9,"[[19.275253, 64.238159], [20.265894, 65.883278], [14.583497, 66.364983], [13.935036, 64.703247], [19.275253, 64.238159]]",2018-03-30
S1A_IW_SLC__1SDV_20180330T052106_20180330T052133_021240_024878_7D66,DESCENDING,168,369,2018-03-30,2018-03-30T05:21:06.000Z,2018-03-31,[25],['AC-46A'],['110'],[-10.0],1,"[[20.184574, 65.756783], [21.237419, 67.340233], [15.210522, 67.839508], [14.530725, 66.237], [20.184574, 65.756783]]",2018-03-30
S1A_IW_SLC__1SDV_20180328T053741_20180328T053808_021211_024795_07AE,DESCENDING,139,371,2018-03-28,2018-03-28T05:37:41.000Z,2018-03-29,"[30, 317, 173]","['AC-42A', 'AC-42C', 'AC-42B']","['85', '110', '110']","[-10.0, -10.0, -10.0]",3,"[[15.767897, 65.286537], [16.787424, 66.871353], [10.885225, 67.363609], [10.223847, 65.760811], [15.767897, 65.286537]]",2018-03-28
S1A_IW_SLC__1SDV_20180315T161441_20180315T161508_021028_0241CC_51AF,ASCENDING,131,214,2018-03-15,2018-03-15T16:14:41.000Z,2018-03-16,"[322, 323, 35, 36, 178, 179]","['AC-40C', 'AC-41C', 'AC-40A', 'AC-41A', 'AC-40B', 'AC-41B']","['200', '165', '170', '120', '115', '200']","[-15.0, -20.0, -15.0, -20.0, -15.0, -20.0]",6,"[[15.523362, 66.64843], [16.530441, 65.063065], [22.058718, 65.538414], [21.405298, 67.141472], [15.523362, 66.64843]]",2018-03-15
S1B_IW_SLC__1SDV_20180314T162223_20180314T162251_010030_012302_D8D8,ASCENDING,29,216,2018-03-14,2018-03-14T16:22:23.000Z,2018-03-15,"[321, 318, 31, 33, 34, 174, 176, 177]","['AC-38C', 'AC-37C', 'AC-37A', 'AC-39A', 'AC-38A', 'AC-37B', 'AC-39B', 'AC-38B']","['130', '10', '70', '80', '85', '45', '120', '120']","[-15.0, -15.0, -15.0, -15.0, -15.0, -15.0, -15.0, -15.0]",8,"[[13.232182, 67.366486], [14.306138, 65.727524], [19.731489, 66.185028], [19.02829, 67.842606], [13.232182, 67.366486]]",2018-03-14
S1B_IW_SLC__1SDV_20180314T162156_20180314T162226_010030_012302_0AD2,ASCENDING,29,210,2018-03-14,2018-03-14T16:21:56.000Z,2018-03-15,"[321, 320, 318, 31, 33, 34, 174, 176, 177]","['AC-38C', 'AC-39C', 'AC-37C', 'AC-37A', 'AC-39A', 'AC-38A', 'AC-37B', 'AC-39B', 'AC-38B']","['130', '85', '10', '70', '80', '85', '45', '120', '120']","[-15.0, -15.0, -15.0, -15.0, -15.0, -15.0, -15.0, -15.0, -15.0]",9,"[[14.21329, 65.859734], [15.252691, 64.101608], [20.361139, 64.544518], [19.670904, 66.319267], [14.21329, 65.859734]]",2018-03-14
S1B_IW_SLC__1SDV_20170307T162217_20170307T162245_004605_008070_6515,ASCENDING,29,216,2017-03-07,2017-03-07T16:22:17.000Z,2017-03-06,"[154, 152, 153, 296, 297, 298, 12, 11, 10]","['AC-35B', 'AC-30B', 'AC-34B', 'AC-30C', 'AC-34C', 'AC-35C', 'AC-35A', 'AC-34A', 'AC-30A']","['95', '130', '125', '35', '45', '75', '30', '145', '82']","[-10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0]",9,"[[13.229888, 67.36721], [14.30429, 65.727913], [19.736259, 66.185936], [19.033165, 67.84388], [13.229888, 67.36721]]",2017-03-07
S1B_IW_SLC__1SDV_20170307T162149_20170307T162219_004605_008070_F2EE,ASCENDING,29,210,2017-03-07,2017-03-07T16:21:49.000Z,2017-03-06,"[154, 297, 298, 12]","['AC-35B', 'AC-34C', 'AC-35C', 'AC-35A']","['95', '45', '75', '30']","[-10.0, -10.0, -10.0, -10.0]",4,"[[14.211408, 65.860123], [15.251197, 64.101654], [20.365805, 64.545059], [19.675684, 66.320175], [14.211408, 65.860123]]",2017-03-07
S1A_IW_SLC__1SDV_20170306T163104_20170306T163131_015574_01999E_3323,ASCENDING,102,214,2017-03-06,2017-03-06T16:31:04.000Z,2017-03-05,"[150, 151, 294, 295, 8, 9]","['AC-32B', 'AC-27B', 'AC-32C', 'AC-27C', 'AC-32A', 'AC-27A']","['125', '70', '185', '140', '135', '90']","[-14.0, -10.0, -14.0, -10.0, -14.0, -10.0]",6,"[[11.302673, 66.794785], [12.319909, 65.210052], [17.873787, 65.686882], [17.214106, 67.289627], [11.302673, 66.794785]]",2017-03-06
S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,2017-03-04,2017-03-04T05:29:31.000Z,2017-03-05,"[150, 151, 8, 9, 294, 295]","['AC-32B', 'AC-27B', 'AC-32A', 'AC-27A', 'AC-32C', 'AC-27C']","['125', '70', '135', '90', '185', '140']","[-14.0, -10.0, -14.0, -10.0, -14.0, -10.0]",6,"[[18.451694, 66.264778], [12.689305, 66.75032], [12.049267, 65.146637], [17.470657, 64.677887], [18.451694, 66.264778]]",2017-03-04
S1B_IW_SLC__1SDV_20170303T053655_20170303T053722_004540_007E86_CEE5,DESCENDING,139,371,2017-03-03,2017-03-03T05:36:55.000Z,2017-03-04,"[4, 146, 149, 7, 290, 293]","['AC-39A', 'AC-39B', 'AC-33B', 'AC-33A', 'AC-39C', 'AC-33C']","['60', '70', '30', '35', '30', '40']","[-15.0, -15.0, -7.0, -7.0, -15.0, -7.0]",6,"[[16.570955, 66.720306], [10.82233, 67.198982], [10.166605, 65.596275], [15.568645, 65.134766], [16.570955, 66.720306]]",2017-03-03
