ID,ERA5_time,skt,rsn,sd
193,2019-04-03T08,-3.0,240.0,0.22603130340576172
194,2019-04-05T08,-6.0,270.0,0.2954721450805664
195,2019-03-11T08,-19.0,200.0,0.15765857696533203
196,2019-03-11T10,-17.0,203.0,0.15742111206054688
197,2019-03-11T13,-16.0,172.0,0.09714126586914062
198,2019-03-05T14,-20.0,216.0,0.1274423599243164
199,2019-03-05T12,-21.0,220.0,0.14775371551513672
200,2019-03-05T08,-24.0,219.0,0.14467906951904297
201,2019-03-05T10,-22.0,219.0,0.14487075805664062
202,2019-03-07T10,-16.0,222.0,0.1735248565673828
203,2019-03-15T10,-5.0,197.0,0.15789508819580078
204,2019-03-15T12,-4.0,199.0,0.159820556640625
205,2019-03-26T10,-10.0,239.0,0.22537517547607422
206,2019-03-26T12,-11.0,239.0,0.2253742218017578
207,2019-03-26T13,-10.0,239.0,0.2318553924560547
208,2019-03-26T09,-10.0,236.0,0.2026233673095703
209,2019-03-16T08,-5.0,203.0,0.16099166870117188
210,2019-03-17T07,-10.0,204.0,0.15097999572753906
211,2019-04-08T14,-6.0,280.0,0.2918119430541992
212,2019-04-08T11,-4.0,283.0,0.3007974624633789
213,2019-04-08T09,-5.0,283.0,0.3004312515258789
214,2020-02-26T13,-16.0,269.0,0.26560020446777344
215,2020-02-27T11,-19.0,262.0,0.24433422088623047
216,2020-03-19T06,-5.0,289.0,0.276214599609375
217,2020-03-19T05,-6.0,289.0,0.2763214111328125
218,2020-04-05T04,-14.0,291.0,0.3365039825439453
219,2020-04-05T05,-15.0,291.0,0.3355379104614258
220,2020-04-06T06,-7.0,292.0,0.33388519287109375
221,2020-04-21T04,-0.0,327.0,0.2382059097290039
222,2020-04-22T04,-2.0,330.0,0.2547473907470703
223,2020-04-27T08,-1.0,353.0,0.41111183166503906
224,2020-04-28T04,-7.0,345.0,0.39751434326171875
225,2020-04-28T08,-1.0,351.0,0.4137582778930664
226,2020-04-28T06,-3.0,345.0,0.3994894027709961
227,2020-04-28T12,-1.0,347.0,0.3532533645629883
228,2020-04-28T11,-1.0,351.0,0.3631153106689453
229,2020-04-29T03,-9.0,347.0,0.26023387908935547
230,2020-04-29T04,-7.0,346.0,0.2854461669921875
231,2020-04-29T05,-6.0,351.0,0.3460102081298828
232,2020-04-29T09,-2.0,358.0,0.4171323776245117
233,2020-04-29T10,-1.0,353.0,0.4076194763183594
237,2020-04-29T07,-4.0,358.0,0.41771602630615234
238,2021-04-12T08,-7.0,250.0,0.20949745178222656
239,2021-04-12T09,-7.0,236.0,0.18880176544189453
240,2021-04-12T11,-5.0,237.0,0.1913909912109375
241,2021-04-17T03,-10.0,234.0,0.12815475463867188
242,2021-04-17T05,-7.0,251.0,0.17269515991210938
245,2021-03-10T07,-16.0,223.0,0.1586771011352539
246,2021-03-10T06,-16.0,233.0,0.17145061492919922
247,2021-03-15T05,-5.0,247.0,0.20615386962890625
248,2021-03-16T08,-6.0,234.0,0.17091083526611328
249,2021-03-16T12,-5.0,214.0,0.1472177505493164
250,2021-03-18T05,-13.0,237.0,0.17479705810546875
251,2021-03-18T06,-11.0,258.0,0.21024703979492188
252,2021-03-18T07,-12.0,238.0,0.17513561248779297
253,2021-03-18T09,-10.0,238.0,0.17535877227783203
254,2021-03-26T05,-7.0,275.0,0.18721771240234375
255,2021-03-26T06,-4.0,285.0,0.20010662078857422
256,2021-03-26T08,-2.0,276.0,0.1896066665649414
257,2021-03-26T09,-1.0,263.0,0.16916370391845703
258,2021-03-28T05,-4.0,267.0,0.19333839416503906
259,2021-03-28T07,-4.0,251.0,0.18645858764648438
260,2021-04-12T03,-12.0,262.0,0.2294597625732422
261,2021-04-12T05,-12.0,263.0,0.22983551025390625
262,2021-04-12T06,-10.0,249.0,0.20934295654296875
263,2022-01-31T09,-15.0,211.0,0.11992454528808594
264,2022-02-19T09,-13.0,181.0,0.12873554229736328
265,2022-02-19T08,-14.0,181.0,0.12872314453125
266,2022-03-04T07,-10.0,238.0,0.1995687484741211
267,2022-03-09T08,-4.0,244.0,0.2088174819946289
268,2022-03-12T07,-9.0,282.0,0.3099241256713867
269,2022-03-12T09,-4.0,257.0,0.2115612030029297
270,2022-03-13T10,-5.0,260.0,0.19443988800048828
271,2022-03-13T08,-6.0,267.0,0.20957565307617188
272,2022-03-13T05,-9.0,267.0,0.2101755142211914
273,2022-03-13T06,-8.0,271.0,0.21480751037597656
274,2022-03-14T14,-7.0,279.0,0.28533363342285156
275,2022-03-14T11,-6.0,284.0,0.2983427047729492
276,2022-03-14T09,-8.0,289.0,0.310150146484375
277,2022-03-14T08,-10.0,289.0,0.31014251708984375
278,2022-03-14T06,-10.0,288.0,0.2918548583984375
279,2022-03-15T10,-5.0,282.0,0.2853231430053711
280,2022-03-15T07,-11.0,266.0,0.21453285217285156
281,2022-03-15T07,-13.0,245.0,0.18265056610107422
282,2022-03-15T08,-7.0,281.0,0.28110504150390625
283,2022-03-16T13,-7.0,290.0,0.2987184524536133
284,2022-03-16T09,-8.0,243.0,0.12842464447021484
285,2022-04-15T10,-5.0,250.0,0.2138986587524414
286,2017-02-21T10,-14.0,286.0,0.25258922576904297
287,2017-02-26T08,-15.0,263.0,0.2315673828125
288,2017-02-26T11,-12.0,263.0,0.2304096221923828
289,2017-02-26T13,-11.0,272.0,0.2586812973022461
290,2017-03-04T09,-16.0,207.0,0.14328575134277344
291,2017-03-04T11,-14.0,200.0,0.13568115234375
292,2017-03-04T12,-14.0,200.0,0.13568401336669922
293,2017-03-04T14,-18.0,244.0,0.2211160659790039
294,2017-03-05T10,-19.0,245.0,0.21681976318359375
295,2017-03-05T12,-17.0,259.0,0.2367382049560547
296,2017-03-06T10,-19.0,213.0,0.1512889862060547
297,2017-03-06T11,-18.0,213.0,0.1512928009033203
298,2017-03-06T12,-17.0,202.0,0.13552093505859375
299,2017-03-17T14,-1.0,230.0,0.13861560821533203
300,2017-03-17T11,-2.0,262.0,0.2571706771850586
301,2017-03-17T07,-4.0,261.0,0.2579936981201172
302,2017-03-31T08,-10.0,301.0,0.3751516342163086
303,2017-03-31T10,-8.0,302.0,0.38817787170410156
304,2017-03-17T11,-2.0,284.0,0.3439788818359375
305,2017-03-17T13,-2.0,288.0,0.3681917190551758
306,2017-04-18T08,-6.0,329.0,0.4131488800048828
307,2017-04-14T12,-8.0,315.0,0.3838033676147461
308,2017-04-16T09,-8.0,299.0,0.2852163314819336
309,2017-04-16T06,-13.0,299.0,0.2855243682861328
310,2017-04-18T12,-3.0,330.0,0.40900325775146484
311,2017-04-18T10,-3.0,330.0,0.4168987274169922
312,2018-03-31T10,-7.0,248.0,0.25634288787841797
313,2018-03-31T08,-9.0,259.0,0.3072681427001953
314,2018-03-30T09,-7.0,260.0,0.2903728485107422
315,2018-03-30T10,-7.0,260.0,0.2903175354003906
316,2018-03-30T12,-7.0,273.0,0.3339672088623047
317,2018-03-29T11,-8.0,276.0,0.35393524169921875
318,2018-03-15T12,-17.0,271.0,0.3523731231689453
319,2018-04-17T11,2.0,337.0,0.4183807373046875
320,2018-03-15T11,-16.0,268.0,0.3382596969604492
321,2018-03-15T10,-18.0,271.0,0.3523712158203125
322,2018-03-16T11,-16.0,273.0,0.3528261184692383
323,2018-03-16T10,-17.0,273.0,0.35282230377197266
324,2018-03-16T13,-18.0,265.0,0.3012113571166992
325,2018-03-28T13,-9.0,273.0,0.3567190170288086
326,2018-03-28T10,-9.0,280.0,0.37766170501708984
327,2018-03-28T14,-9.0,286.0,0.3985280990600586
328,2018-03-28T08,-9.0,285.0,0.3990936279296875
329,2018-03-30T14,-9.0,274.0,0.3339700698852539
330,2018-04-02T15,-11.0,296.0,0.3906412124633789
331,2018-04-02T13,-7.0,298.0,0.3896598815917969
332,2018-04-02T12,-7.0,297.0,0.3896636962890625
333,2018-03-23T13,-8.0,290.0,0.3684053421020508
334,2018-03-23T11,-8.0,290.0,0.3684043884277344
335,2018-03-23T09,-8.0,288.0,0.3537912368774414
336,2018-03-23T08,-9.0,288.0,0.35380077362060547
337,2019-04-03T08,-3.0,240.0,0.22603130340576172
338,2019-04-05T08,-6.0,270.0,0.2954721450805664
339,2019-03-11T08,-19.0,200.0,0.15765857696533203
340,2019-03-11T10,-17.0,203.0,0.15742111206054688
341,2019-03-11T13,-17.0,203.0,0.15741825103759766
342,2019-03-05T14,-22.0,219.0,0.14487648010253906
343,2019-03-05T12,-21.0,220.0,0.14775371551513672
344,2019-03-05T08,-24.0,219.0,0.14467906951904297
345,2019-03-05T10,-22.0,219.0,0.14487075805664062
346,2019-03-07T10,-16.0,222.0,0.1735248565673828
347,2019-03-15T10,-4.0,198.0,0.1597614288330078
348,2019-03-15T12,-4.0,199.0,0.159820556640625
349,2019-03-26T10,-9.0,237.0,0.20287799835205078
350,2019-03-26T12,-11.0,239.0,0.2253742218017578
351,2019-03-26T13,-10.0,239.0,0.2318553924560547
352,2019-03-26T09,-10.0,236.0,0.2026233673095703
353,2019-03-16T08,-5.0,203.0,0.16099166870117188
354,2019-03-17T07,-10.0,208.0,0.1614208221435547
355,2019-04-08T14,-6.0,280.0,0.2918119430541992
356,2019-04-08T11,-4.0,283.0,0.3007974624633789
357,2019-04-08T09,-5.0,283.0,0.3004312515258789
358,2020-02-26T13,-17.0,281.0,0.3250999450683594
359,2020-02-27T11,-19.0,281.0,0.3257417678833008
360,2020-03-19T06,-5.0,289.0,0.276214599609375
361,2020-03-19T05,-6.0,289.0,0.2763214111328125
362,2020-04-05T04,-14.0,291.0,0.3365039825439453
363,2020-04-05T05,-15.0,291.0,0.3355379104614258
364,2020-04-06T06,-6.0,287.0,0.2510108947753906
365,2020-04-21T04,-0.0,327.0,0.2382059097290039
366,2020-04-22T04,-2.0,331.0,0.2265329360961914
367,2020-04-27T08,-1.0,353.0,0.41111183166503906
368,2020-04-28T04,-7.0,345.0,0.39751434326171875
369,2020-04-28T08,-1.0,351.0,0.4137582778930664
370,2020-04-28T06,-3.0,345.0,0.3994894027709961
371,2020-04-28T12,-1.0,347.0,0.3532533645629883
372,2020-04-28T11,-1.0,351.0,0.3631153106689453
373,2020-04-29T03,-9.0,347.0,0.26023387908935547
374,2020-04-29T04,-8.0,347.0,0.25727081298828125
375,2020-04-29T05,-6.0,351.0,0.3460102081298828
376,2020-04-29T09,-2.0,358.0,0.4171323776245117
377,2020-04-29T10,-1.0,353.0,0.4076194763183594
381,2020-04-29T07,-4.0,351.0,0.3445463180541992
382,2021-04-12T08,-7.0,250.0,0.20949745178222656
383,2021-04-12T09,-7.0,236.0,0.18880176544189453
384,2021-04-12T11,-5.0,237.0,0.1913909912109375
385,2021-04-17T03,-10.0,234.0,0.12815475463867188
386,2021-04-17T05,-7.0,251.0,0.17269515991210938
389,2021-03-10T06,-17.0,223.0,0.1584796905517578
390,2021-03-15T05,-5.0,247.0,0.20615386962890625
391,2021-03-16T08,-7.0,214.0,0.1476001739501953
392,2021-03-16T12,-5.0,214.0,0.1472177505493164
393,2021-03-18T05,-13.0,237.0,0.17479705810546875
394,2021-03-18T06,-11.0,258.0,0.21024703979492188
395,2021-03-18T07,-9.0,250.0,0.1907367706298828
396,2021-03-18T09,-10.0,238.0,0.17535877227783203
397,2021-03-26T05,-7.0,285.0,0.19920825958251953
398,2021-03-26T06,-4.0,285.0,0.20010662078857422
399,2021-03-26T08,-2.0,276.0,0.1896066665649414
400,2021-03-26T09,-1.0,276.0,0.1896190643310547
401,2021-03-28T05,-4.0,267.0,0.19333839416503906
402,2021-03-28T07,-4.0,251.0,0.18645858764648438
403,2021-04-12T03,-11.0,275.0,0.22408771514892578
404,2021-04-12T05,-12.0,263.0,0.22983551025390625
405,2021-04-12T06,-10.0,249.0,0.20934295654296875
406,2022-01-31T09,-15.0,215.0,0.1431131362915039
407,2022-02-19T09,-13.0,181.0,0.12873554229736328
408,2022-02-19T08,-14.0,181.0,0.12872314453125
409,2022-03-04T07,-10.0,238.0,0.1995687484741211
410,2022-03-09T08,-3.0,230.0,0.14254188537597656
411,2022-03-12T07,-9.0,282.0,0.3099241256713867
412,2022-03-12T09,-4.0,257.0,0.2115612030029297
413,2022-03-13T10,-4.0,267.0,0.2106790542602539
414,2022-03-13T08,-6.0,267.0,0.20957565307617188
415,2022-03-13T05,-8.0,271.0,0.2149362564086914
416,2022-03-13T06,-8.0,271.0,0.21480751037597656
417,2022-03-14T14,-7.0,279.0,0.28533363342285156
418,2022-03-14T11,-6.0,284.0,0.2983427047729492
419,2022-03-14T09,-8.0,289.0,0.310150146484375
420,2022-03-14T08,-8.0,288.0,0.29192256927490234
421,2022-03-14T06,-10.0,288.0,0.2918548583984375
422,2022-03-15T10,-5.0,282.0,0.2853231430053711
423,2022-03-15T07,-11.0,266.0,0.21453285217285156
424,2022-03-15T07,-13.0,245.0,0.18265056610107422
425,2022-03-15T08,-7.0,281.0,0.28110504150390625
426,2022-03-16T13,-7.0,290.0,0.2987184524536133
427,2022-03-16T09,-8.0,263.0,0.2011251449584961
428,2022-04-15T10,-5.0,250.0,0.2138986587524414
429,2023-03-26T12,-15.0,166.0,0.07079696655273438
430,2023-03-27T13,-19.0,168.0,0.06964302062988281
431,2023-03-27T11,-20.0,167.0,0.07019233703613281
432,2023-03-25T10,-9.0,149.0,0.007925987243652344
433,2023-03-25T11,-7.0,149.0,0.0075473785400390625
434,2023-03-11T08,-15.0,133.0,0.020793914794921875
435,2023-03-11T10,-10.0,134.0,0.020285606384277344
436,2023-03-07T12,-13.0,139.0,0.029305458068847656
437,2023-03-25T12,-7.0,150.0,0.007275581359863281
438,2023-03-11T11,-9.0,134.0,0.0308837890625
439,2023-03-25T13,-17.0,161.0,0.06512832641601562
440,2023-04-17T11,2.0,272.0,0.0862264633178711
441,2023-04-13T06,-3.0,226.0,0.06943702697753906
442,2023-04-13T09,-1.0,234.0,0.07277393341064453
443,2023-03-12T07,-17.0,145.0,0.0037775039672851562
