ID,ERA5_time,t2m,skt,rsn,sd,tsn,tcsw
183,2018-03-28T14,268.5337,263.69678,286.0078,0.3985281,266.09546,0.0
184,2018-03-28T08,266.89502,265.10205,286.35156,0.3960657,265.78027,0.0
185,2018-03-30T14,269.22046,264.3352,273.75,0.33397007,266.09937,0.00048828125
186,2018-04-02T15,267.28955,261.88428,295.65625,0.3906412,265.1726,0.0
187,2018-04-02T13,267.82007,264.76367,295.39844,0.39064407,265.07593,0.0
188,2018-04-02T12,268.61426,266.19067,297.4453,0.3896637,265.7749,0.0
189,2018-03-23T13,267.35498,265.16748,289.20312,0.37576008,264.1394,0.061523438
190,2018-03-23T11,266.19995,265.13647,289.67188,0.3684044,263.4912,0.0078125
191,2018-03-23T09,263.9319,264.46167,289.6875,0.36842155,263.47607,0.0063476562
192,2018-03-23T08,262.52588,264.19214,288.10938,0.35380077,262.3296,0.006591797
193,2019-04-03T08,270.7837,269.76123,240.03905,0.2260313,271.5923,0.0063476562
194,2019-04-05T08,267.98706,267.32056,270.4453,0.29547215,271.4121,0.0
195,2019-03-11T08,256.99207,254.44684,200.30467,0.15765858,257.10114,0.0
196,2019-03-11T10,259.1853,256.04733,202.60936,0.15742111,257.95178,0.0
197,2019-03-11T13,262.15918,257.27014,172.1328,0.097141266,258.55176,0.0
198,2019-03-05T14,258.7547,253.1072,216.06248,0.12744236,255.42715,0.0
199,2019-03-05T12,256.8739,251.65501,219.57811,0.14775372,253.10693,0.0
200,2019-03-05T08,249.95229,249.28558,218.78123,0.14467907,251.73804,0.0
201,2019-03-05T10,253.91615,251.11319,218.85936,0.14487076,252.07697,0.0
202,2019-03-07T10,257.94385,257.2556,221.5703,0.17352486,255.4229,0.00048828125
203,2019-03-15T10,268.95728,268.44385,197.24217,0.15789509,267.73145,0.04345703
204,2019-03-15T12,270.40625,269.46704,198.52342,0.15982056,268.29187,0.013183594
205,2019-03-26T10,266.9751,262.68164,239.03123,0.22537518,265.7921,0.0017089844
206,2019-03-26T12,266.51636,262.43506,239.35155,0.22537422,265.33752,0.00048828125
207,2019-03-26T13,267.6194,262.7495,238.93748,0.23185539,265.8296,0.00048828125
208,2019-03-26T09,266.9065,263.11035,236.47655,0.20262337,266.09595,0.0
209,2019-03-16T08,269.0299,267.7478,202.54686,0.16099167,268.5619,0.00390625
210,2019-03-17T07,262.69897,262.75464,203.72655,0.15098,264.20166,0.0034179688
211,2019-04-08T14,268.6018,266.79736,280.1172,0.29181194,268.54785,0.0
212,2019-04-08T11,268.51245,268.90894,283.02344,0.30079746,269.552,0.00048828125
213,2019-04-08T09,266.4685,268.32007,282.66406,0.30043125,269.51733,0.0
214,2020-02-26T13,263.26123,257.11618,269.0,0.2656002,260.7473,0.0
215,2020-02-27T11,258.5996,254.40536,261.85938,0.24433422,253.88332,0.0
216,2020-03-19T06,268.61328,267.7705,288.67188,0.2762146,270.11145,0.020019531
217,2020-03-19T05,267.72375,267.64258,288.53125,0.2763214,269.96948,0.017578125
218,2020-04-05T04,259.37378,258.71548,291.1875,0.33650398,263.11157,0.0034179688
219,2020-04-05T05,259.31665,258.42987,291.28125,0.3355379,262.9973,0.0009765625
220,2020-04-06T06,266.56396,265.989,292.09375,0.3338852,265.61353,0.013671875
221,2020-04-21T04,275.0608,272.65906,327.1328,0.23820591,272.995,0.0
222,2020-04-22T04,271.37134,271.07886,330.2578,0.2547474,272.60913,0.0
223,2020-04-27T08,271.8778,272.45557,353.17188,0.41111183,272.72968,0.010253906
224,2020-04-28T04,268.96777,266.2893,344.8125,0.39751434,271.90186,0.0009765625
225,2020-04-28T08,270.44666,271.83777,350.64844,0.41375828,272.32715,0.016601562
226,2020-04-28T06,269.8224,269.82373,345.03125,0.3994894,272.7157,0.00390625
227,2020-04-28T12,272.42114,272.16846,346.57812,0.35325336,272.02393,0.029296875
228,2020-04-28T11,271.77637,272.16772,351.17188,0.3631153,271.75037,0.016601562
229,2020-04-29T03,267.1521,264.5973,346.73438,0.26023388,270.40308,0.001953125
230,2020-04-29T04,268.42615,265.84705,345.91406,0.28544617,270.6211,0.00048828125
231,2020-04-29T05,268.87854,266.94116,350.91406,0.3460102,271.68787,0.0009765625
232,2020-04-29T09,270.45825,271.43677,357.60938,0.41713238,272.7047,0.016601562
233,2020-04-29T10,271.0415,271.6565,353.29688,0.40761948,272.9707,0.018554688
237,2020-04-29T07,269.7566,269.56055,357.65625,0.41771603,272.85315,0.014160156
238,2021-04-12T08,268.4784,266.15967,249.59373,0.20949745,268.95215,0.0
239,2021-04-12T09,269.58862,266.53784,236.35936,0.18880177,269.3817,0.0
240,2021-04-12T11,270.81628,268.4054,236.78123,0.19139099,269.7434,0.00048828125
241,2021-04-17T03,270.4629,263.15283,234.27342,0.12815475,270.29907,0.0
242,2021-04-17T05,270.68933,266.4829,251.28905,0.17269516,271.35352,0.0
245,2021-03-10T07,256.4607,256.73483,222.74217,0.1586771,258.54504,0.0
246,2021-03-10T06,255.59035,256.7864,232.61717,0.17145061,258.6104,0.00048828125
247,2021-03-15T05,268.3147,267.83423,247.49217,0.20615387,268.99097,0.0014648438
248,2021-03-16T08,266.55945,267.06982,233.59373,0.17091084,266.84058,0.00048828125
249,2021-03-16T12,270.08447,267.9082,214.39842,0.14721775,268.0702,0.00048828125
250,2021-03-18T05,260.3589,260.05566,237.4453,0.17479706,263.64673,0.00024414062
251,2021-03-18T06,261.55518,262.1416,258.46094,0.21024704,264.9109,0.0009765625
252,2021-03-18T07,261.2976,261.6223,237.65623,0.17513561,263.5935,0.001953125
253,2021-03-18T09,263.77075,263.16284,237.86717,0.17535877,263.9392,0.00048828125
254,2021-03-26T05,267.573,266.64624,275.21094,0.18721771,269.01477,0.0
255,2021-03-26T06,267.86816,268.86768,285.375,0.20010662,268.55933,0.0
256,2021-03-26T08,272.3883,271.24512,275.59375,0.18960667,270.2439,0.0
257,2021-03-26T09,273.5575,272.1084,263.1328,0.1691637,271.59814,0.0
258,2021-03-28T05,270.9248,269.11865,266.73438,0.1933384,272.26025,0.0
259,2021-03-28T07,270.73572,268.91943,250.5703,0.18645859,272.22742,0.0
260,2021-04-12T03,266.68457,260.80713,262.20312,0.22945976,268.74756,0.0
261,2021-04-12T05,266.77344,261.2234,262.53906,0.22983551,268.57983,0.0
262,2021-04-12T06,267.6361,263.21216,249.24217,0.20934296,268.6167,0.0
263,2022-01-31T09,258.3542,257.78186,211.32811,0.119924545,259.8837,0.0
264,2022-02-19T09,261.18677,259.74512,181.46873,0.12873554,260.25244,0.018554688
265,2022-02-19T08,260.0658,258.79517,181.35936,0.12872314,259.8794,0.021484375
266,2022-03-04T07,261.1631,263.2041,237.78905,0.19956875,264.10977,0.0063476562
267,2022-03-09T08,268.8672,269.13184,244.41405,0.20881748,270.31067,0.0
268,2022-03-12T07,268.2881,264.19043,282.46875,0.30992413,268.46924,0.0
269,2022-03-12T09,270.85986,268.72217,257.34375,0.2115612,268.3728,0.0
270,2022-03-13T10,270.42822,267.9546,259.96094,0.19443989,265.62573,0.0
271,2022-03-13T08,266.4944,267.12476,267.01562,0.20957565,265.16992,0.0
272,2022-03-13T05,264.45898,263.77588,266.6172,0.21017551,265.2893,0.0
273,2022-03-13T06,262.6819,265.10547,270.73438,0.21480751,265.36768,0.0
274,2022-03-14T14,273.59497,266.64722,279.21094,0.28533363,268.2024,0.0009765625
275,2022-03-14T11,272.802,267.37964,284.1953,0.2983427,266.18945,0.00048828125
276,2022-03-14T09,269.54688,264.9568,289.41406,0.31015015,264.69702,0.0
277,2022-03-14T08,268.46826,263.60474,289.29688,0.31014252,264.06396,0.0
278,2022-03-14T06,267.20508,263.60156,287.60156,0.29185486,264.18213,0.0068359375
279,2022-03-15T10,271.78418,267.67456,281.75,0.28532314,264.87305,0.0
280,2022-03-15T07,266.47217,262.13135,265.9297,0.21453285,261.96826,0.0
281,2022-03-15T07,267.83545,260.3794,244.99998,0.18265057,261.07764,0.0
282,2022-03-15T08,268.64795,266.1809,281.33594,0.28110504,265.85547,0.0
283,2022-03-16T13,271.00366,265.65942,289.8047,0.29871845,265.29614,0.0
284,2022-03-16T09,267.26367,265.15894,242.62498,0.12842464,262.6184,0.0
285,2022-04-15T10,270.9463,268.06738,249.53123,0.21389866,266.76538,0.0
286,2017-02-21T10,260.74536,259.26196,286.32812,0.25258923,260.06067,0.010253906
287,2017-02-26T08,258.74377,258.1875,262.6875,0.23156738,260.4225,0.0
288,2017-02-26T11,263.79883,261.49292,262.85938,0.23040962,261.6819,0.0014648438
289,2017-02-26T13,265.4049,261.9485,271.58594,0.2586813,262.9414,0.0078125
