ID,ERA5_time,era5_l_lai_hv,era5_l_lai_lv,era5_l_skt,era5_l_rsn,era5_l_sde,era5_l_sd,era5_l_tsn,tp
318,2018-03-15T13,4.5052557,0.91920185,255.64215,262.53183,1.3867112,0.3641097,254.67375,5.601066e-06
319,2018-04-17T13,4.5074677,0.92320764,273.0412,316.78925,1.2900438,0.40820938,268.96432,9.186317e-11
320,2018-03-15T13,4.0443025,0.76854926,256.99808,263.1941,1.3740249,0.3615051,255.50757,4.9007112e-06
321,2018-03-15T13,3.7430775,0.6583224,258.06232,263.57864,1.3623297,0.35918134,256.19095,4.9007112e-06
322,2018-03-16T13,3.4049335,0.86256903,257.41528,263.0232,1.3310763,0.3500652,254.67819,9.186317e-11
323,2018-03-16T13,3.768097,0.8779474,257.41528,262.07254,1.3242046,0.34697542,254.73189,9.186317e-11
324,2018-03-16T13,4.875818,1.0402949,252.98285,268.2038,1.3544668,0.36321595,251.30214,7.0044644e-07
325,2018-03-28T13,4.9288316,0.7208027,260.89374,278.5009,1.4472357,0.4029746,259.30652,6.581666e-05
326,2018-03-28T13,4.9377565,0.8792826,260.61646,278.21783,1.4541075,0.40437907,259.05536,4.34109e-05
327,2018-03-28T13,4.6716194,0.7992139,262.27258,278.28192,1.4267526,0.39679503,260.13855,2.8006825e-05
328,2018-03-28T13,3.8382735,0.72876817,264.97003,281.01642,1.3779234,0.38706604,262.4811,1.4003458e-05
329,2018-03-30T13,3.6542127,0.49427128,264.42392,285.30508,1.3993976,0.3992209,262.10614,9.802366e-05
330,2018-04-02T13,3.8366716,0.5685847,263.45468,292.1093,1.383804,0.40414923,261.5976,3.080824e-05
331,2018-04-02T13,4.8428655,0.5872781,263.43262,292.5152,1.3808306,0.40371513,261.31448,1.750337e-05
332,2018-04-02T13,4.6559825,0.77085143,263.74298,291.4524,1.3642459,0.39735684,261.15118,1.120204e-05
333,2018-03-23T13,4.7463727,0.57664216,264.50363,278.0309,1.3720427,0.38137165,262.6586,0.00011412809
334,2018-03-23T13,4.3798532,0.73668754,264.7614,280.74405,1.3261868,0.37187245,263.4223,0.00011832835
335,2018-03-23T13,3.8352985,0.8713172,265.16336,280.98972,1.2998229,0.36515665,263.62732,0.00011482844
336,2018-03-23T13,3.974355,0.8585172,265.43726,279.6545,1.2529099,0.35024396,263.9282,0.00010082508
337,2019-04-03T13,1.1290027,0.7883478,267.2579,315.96674,2.4043288,0.7597301,265.393,9.186317e-11
338,2019-04-05T13,0.45408773,0.7539076,265.28293,326.78192,2.4736414,0.808324,264.0999,7.0044644e-07
339,2019-03-11T13,4.6716194,0.7992139,254.97563,263.10864,1.4160484,0.37263852,256.013,7.0044644e-07
340,2019-03-11T13,4.9288316,0.7208027,253.339,271.7127,1.6035026,0.43599194,254.97595,1.400801e-06
341,2019-03-11T13,4.9074736,1.0697163,253.78166,264.6094,1.458997,0.38635105,255.12595,2.1011556e-06
342,2019-03-05T13,3.8382735,0.72876817,253.46365,272.81293,1.1787078,0.321823,252.90897,2.1705497e-05
343,2019-03-05T13,4.875818,1.0402949,249.97504,280.95233,1.4667939,0.412627,251.90297,2.1005142e-05
344,2019-03-05T13,3.7430775,0.6583224,254.40916,274.303,1.0996164,0.30152237,253.43524,2.2405851e-05
345,2019-03-05T13,4.5052557,0.91920185,251.74054,273.71017,1.2187492,0.33356935,252.38933,2.3106206e-05
346,2019-03-07T13,4.9377565,0.8792826,254.8001,278.36737,1.4336244,0.3993486,251.74146,2.6606116e-05
347,2019-03-15T13,3.8261452,0.8686467,267.19598,245.04599,1.2470952,0.30558246,264.47488,0.0005083234
348,2019-03-15T13,3.9725242,0.8579187,267.66916,241.44627,1.1943676,0.28821838,264.98566,0.0004663133
349,2019-03-26T13,4.8428655,0.5872781,261.13626,285.37454,1.52342,0.43491945,262.42386,9.186317e-11
350,2019-03-26T13,3.8366716,0.5685847,261.21005,290.79547,1.6572214,0.48233873,262.4474,9.186317e-11
351,2019-03-26T13,3.6542127,0.49427128,262.0029,294.57675,1.7021523,0.50166905,262.96304,7.0044644e-07
352,2019-03-26T13,4.6559825,0.77085143,261.718,280.2954,1.4071945,0.3941649,262.62134,9.186317e-11
353,2019-03-16T13,4.3798532,0.73668754,267.4979,254.76628,1.2851543,0.32703227,265.02957,0.00034938575
354,2019-03-17T13,4.7463727,0.57664216,263.2113,257.06818,1.347661,0.3463881,262.60846,8.402029e-05
355,2019-04-08T13,7.567342e-09,0.75901836,263.96176,322.90448,2.144523,0.6928017,263.36993,1.6104523e-05
356,2019-04-08T13,1.0232803,0.7380228,264.59012,330.67,2.2822227,0.7549039,263.70587,1.8904078e-05
357,2019-04-08T13,4.220354,0.66932666,265.4966,334.54745,2.2314773,0.74657935,264.66125,1.8904078e-05
358,2020-02-26T13,3.8382735,0.72876817,258.40067,314.0387,1.5029368,0.47199687,259.8967,7.001775e-06
