,OG_ID,Triangle,Corner,TriangleCorner,date,SnowDepth,temperature,x_4326,y_4326,x_3006,y_3006
100,107,AC-32,A,AC-32A,2021-05-03,145,-8.0,15.88210448,66.05188319,539953.2836,7325974.195
101,108,AC-27,A,AC-27A,2021-05-03,160,-8.0,15.71649311,66.07877936,532418.2506,7328876.351
102,110,AC-33,A,AC-33A,2021-03-10,50,-20.0,16.03670724,66.06518167,546930.7414,7327563.494
103,111,AC-41,A,AC-41A,2021-03-15,90,-10.0,16.26443367,65.83598422,557753.5181,7302210.037
104,112,AC-42,A,AC-42A,2021-03-16,50,-10.0,15.76098076,65.90840731,534661.4522,7309911.059
105,113,AC-31,A,AC-31A,2021-03-16,140,-5.0,15.59576559,65.98449828,527055.8412,7318310.67
106,114,AC-38,A,AC-38A,2021-03-18,60,-10.0,16.02861195,65.89659453,546872.4418,7308768.327
107,115,AC-40,A,AC-40A,2021-03-18,145,-10.0,16.08976248,65.87227973,549705.8182,7306105.522
108,116,AC-39,A,AC-39A,2021-03-18,60,-10.0,15.93640688,65.88145457,542696.2178,7307015.189
109,117,AC-37,A,AC-37A,2021-03-18,70,-10.0,15.84881121,65.9380027,538617.1852,7313260.876
110,118,AC-35,A,AC-35A,2021-03-26,75,-8.0,16.55332624,65.98731394,570529.3876,7319369.401
111,119,AC-36,A,AC-36A,2021-03-26,110,-8.0,16.75175007,65.99519203,579512.604,7320484.624
112,120,AC-34,A,AC-34A,2021-03-26,120,-6.0,16.33018168,66.05549638,560237.5303,7326734.951
113,121,AC-30,A,AC-30A,2021-03-26,100,-6.0,16.32392487,66.07345377,559911.9498,7328730.193
114,122,AC-29,A,AC-29A,2021-03-28,90,-5.0,16.14107316,66.10983041,551564.2798,7332621.634
115,123,AC-28,A,AC-28A,2021-03-28,110,-5.0,15.8491718,66.15323252,538308.6585,7337249.602
116,124,AC-26,A,AC-26A,2021-04-12,120,-11.0,16.04425364,66.16381694,547089.1167,7338562.269
117,125,AC-25,A,AC-25A,2021-04-12,115,,15.84925843,66.20434872,538235.3079,7342946.922
118,126,AC-24,A,AC-24A,2021-04-12,90,-10.0,15.69390556,66.19086231,531257.926,7341357.54
119,127,AC-33,A,AC-33A,2022-01-31,90,-19.6,16.03670724,66.06518167,546930.7414,7327563.494
120,128,AC-40,A,AC-40A,2022-02-19,130,-15.0,16.08976248,65.87227973,549705.8182,7306105.522
121,129,AC-41,A,AC-41A,2022-02-19,100,-15.0,16.26443367,65.83598422,557753.5181,7302210.037
122,130,AC-31,A,AC-31A,2022-03-04,180,-11.5,15.59576559,65.98449828,527055.8412,7318310.67
123,131,AC-39,A,AC-39A,2022-03-09,70,-7.0,15.93640688,65.88145457,542696.2178,7307015.189
124,132,AC-28,A,AC-28A,2022-03-12,80,-3.0,15.8491718,66.15323252,538308.6585,7337249.602
125,133,AC-32,A,AC-32A,2022-03-12,130,0.0,15.88210448,66.05188319,539953.2836,7325974.195
126,134,AC-30,A,AC-30A,2022-03-13,90,-5.0,16.32392487,66.07345377,559911.9498,7328730.193
127,135,AC-34,A,AC-34A,2022-03-13,150,,16.33018168,66.05549638,560237.5303,7326734.951
128,136,AC-35,A,AC-35A,2022-03-13,80,-8.4,16.55332624,65.98731394,570529.3876,7319369.401
129,137,AC-36,A,AC-36A,2022-03-13,110,-5.0,16.75175007,65.99519203,579512.604,7320484.624
130,138,AC-21,A,AC-21A,2022-03-14,155,-1.0,15.49256311,66.32241149,522072.9725,7355934.593
131,139,AC-24,A,AC-24A,2022-03-14,130,-2.0,15.69390556,66.19086231,531257.926,7341357.54
132,140,AC-25,A,AC-25A,2022-03-14,100,-2.0,15.84925843,66.20434872,538235.3079,7342946.922
133,141,AC-26,A,AC-26A,2022-03-14,135,-6.0,16.04425364,66.16381694,547089.1167,7338562.269
134,142,AC-29,A,AC-29A,2022-03-14,180,-8.4,16.14107316,66.10983041,551564.2798,7332621.634
135,143,AC-23,A,AC-23A,2022-03-15,120,-1.0,15.37146429,66.23064849,516707.0051,7345668.731
136,144,AC-38,A,AC-38A,2022-03-15,75,-17.0,16.02861195,65.89659453,546872.4418,7308768.327
137,145,AC-43,A,AC-43A,2022-03-15,220,-4.0,15.25159463,66.12264974,511364.1247,7333603.857
138,146,AC-46,A,AC-46A,2022-03-15,155,-3.0,15.24173924,66.1936143,510888.4485,7341512.132
139,147,AC-22,A,AC-22A,2022-03-16,195,-2.0,15.66018048,66.26705978,529649.2181,7349834.175
