,ID_clean,ID_preclean,Triangle,Corner,TriangleCorner,date,SnowDepth,SnowDepth_Noplus,temperature,x_4326,y_4326,x_3006,y_3006,MiddleTime,mask.tif,angle.tif,VH.tif,VV.tif
20,148,156,AC-41,B,AC-41B,2017-03-04,13,13,-9.0,16.35196411,65.83569752,561751.7168,7302261.377,12:50:00,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
21,146,154,AC-39,B,AC-39B,2017-03-04,70,70,-15.0,16.0215596,65.89003991,546562.9883,7308032.57,09:35:00,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
22,147,155,AC-40,B,AC-40B,2017-03-04,75,75,-9.0,16.17741866,65.87209272,553703.9877,7306156.875,11:12:30,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
23,4,5,AC-39,A,AC-39A,2017-03-04,60,60,-15.0,15.93640688,65.88145457,542696.2178,7307015.189,09:35:00,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
24,5,6,AC-40,A,AC-40A,2017-03-04,82,82,-9.0,16.08976248,65.87227973,549705.8182,7306105.522,11:12:30,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
25,6,7,AC-41,A,AC-41A,2017-03-04,70,70,-9.0,16.26443367,65.83598422,557753.5181,7302210.037,12:50:00,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
26,7,8,AC-33,A,AC-33A,2017-03-04,35,35,-7.0,16.03670724,66.06518167,546930.7414,7327563.494,14:57:30,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/53_2017-03-04_clip/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
27,152,160,AC-30,B,AC-30B,2017-03-06,130,130,-10.0,16.3475215,66.10802569,560896.7912,7332605.764,10:15:00,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif
28,152,160,AC-30,B,AC-30B,2017-03-06,130,130,-10.0,16.3475215,66.10802569,560896.7912,7332605.764,10:15:00,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/52_2017-03-06_clip/S1A__IW___D_20170306T051304_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/52_2017-03-06_clip/S1A__IW___D_20170306T051304_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/52_2017-03-06_clip/S1A__IW___D_20170306T051304_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/52_2017-03-06_clip/S1A__IW___D_20170306T051304_VV_gamma0-rtc.tif
29,12,13,AC-35,A,AC-35A,2017-03-06,30,30,-10.0,16.55332624,65.98731394,570529.3876,7319369.401,12:47:30,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/clipped_granules/51_2017-03-06_clip/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif
