,ID_clean,ID_preclean,Triangle,Corner,TriangleCorner,date,SnowDepth,SnowDepth_Noplus,temperature,x_4326,y_4326,x_3006,y_3006,middleTime,granule_time,time_difference,granule_id,orbitProp,pathNr,frameNr,mask.tif,angle.tif,VH.tif,VV.tif
10,6,7,AC-41,A,AC-41A,2017-03-04,70,70,-9.0,16.26443367,65.83598422,557753.5181,7302210.037,12:50:00,05:29:31,8:21:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
11,7,8,AC-33,A,AC-33A,2017-03-04,35,35,-7.0,16.03670724,66.06518167,546930.7414,7327563.494,14:57:30,05:29:31,10:28:00,S1A_IW_SLC__1SDV_20170304T052931_20170304T052958_015538_01988A_5EA4,DESCENDING,66,373,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/29_2017-03-04_clip_100/S1A__IW___D_20170304T052931_VV_gamma0-rtc.tif
12,152,160,AC-30,B,AC-30B,2017-03-06,130,130,-10.0,16.3475215,66.10802569,560896.7912,7332605.764,10:15:00,16:31:04,5:16:00,S1A_IW_SLC__1SDV_20170306T163104_20170306T163131_015574_01999E_3323,ASCENDING,102,214,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif
13,12,13,AC-35,A,AC-35A,2017-03-06,30,30,-10.0,16.55332624,65.98731394,570529.3876,7319369.401,12:47:30,16:31:04,2:44:00,S1A_IW_SLC__1SDV_20170306T163104_20170306T163131_015574_01999E_3323,ASCENDING,102,214,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif
14,297,310,AC-34,C,AC-34C,2017-03-06,45,45,-10.0,16.38630033,66.02781699,562846.7651,7323705.379,11:20:00,16:31:04,4:11:00,S1A_IW_SLC__1SDV_20170306T163104_20170306T163131_015574_01999E_3323,ASCENDING,102,214,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif
15,298,311,AC-35,C,AC-35C,2017-03-06,75,75,-10.0,16.63015012,66.00485918,573966.1625,7321413.04,12:47:30,16:31:04,2:44:00,S1A_IW_SLC__1SDV_20170306T163104_20170306T163131_015574_01999E_3323,ASCENDING,102,214,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif
16,153,161,AC-34,B,AC-34B,2017-03-06,125,125,-10.0,16.41726798,66.06140904,564165.8276,7327480.284,11:20:00,16:31:04,4:11:00,S1A_IW_SLC__1SDV_20170306T163104_20170306T163131_015574_01999E_3323,ASCENDING,102,214,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif
17,296,309,AC-30,C,AC-30C,2017-03-06,35,35,-10.0,16.40948664,66.08242527,563760.9059,7329814.416,10:15:00,16:31:04,5:16:00,S1A_IW_SLC__1SDV_20170306T163104_20170306T163131_015574_01999E_3323,ASCENDING,102,214,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif
18,11,12,AC-34,A,AC-34A,2017-03-06,145,145,-10.0,16.33018168,66.05549638,560237.5303,7326734.951,11:20:00,16:31:04,4:11:00,S1A_IW_SLC__1SDV_20170306T163104_20170306T163131_015574_01999E_3323,ASCENDING,102,214,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif
19,10,11,AC-30,A,AC-30A,2017-03-06,82,82,-10.0,16.32392487,66.07345377,559911.9498,7328730.193,10:15:00,16:31:04,5:16:00,S1A_IW_SLC__1SDV_20170306T163104_20170306T163131_015574_01999E_3323,ASCENDING,102,214,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_layoverShadowMask.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_localIncidenceAngle.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_VH_gamma0-rtc.tif,C:/Users/tryggvisi/Documents/my-awesome-masters-project/Data/Processed_granules/processed_granules_clip_era5/28_2017-03-06_clip_100/S1A__IW___A_20170306T163104_VV_gamma0-rtc.tif
