ERA5,BS_cub,BS_near,
2.027339935,1.951249957,1.967519999,
1.954100013,2.017110109,2.036390066,
1.834959984,1.644320011,1.62808001,
1.815430045,1.944569945,1.926290035,
2.111330032,2.134749889,1.963119984,
2.2177701,2.293649912,2.283529997,
2.263669968,2.306940079,2.288429976,
2.232419968,2.055340052,2.046380043,
2.182620049,2.082669973,2.06592989,
2.027339935,2.180239916,2.169490099,
1.954100013,1.889719963,1.892160058,
1.834959984,2.152909994,2.123490095,
1.815430045,2.046789885,2.018599987,
2.28125,2.221470118,2.219219923,
2.355469942,2.031100035,2.0353899,
2.383790016,2.170870066,2.174710035,
2.333980083,2.019249916,2.008349895,
2.284179926,2.039969921,2.046070099,
2.158200026,2.005089998,2.003309965,
2.104490042,1.897989988,1.891980052,
2.003910065,2.038520098,1.941419959,
1.988280058,1.805729985,1.795480013,
-9999,2.173919916,2.130429983,
-9999,1.960620046,1.965720057,
-9999,1.868440032,1.859400034,
2.340820074,1.836480021,1.795300007,
2.2802701,2.049439907,2.061579943,
1.515619993,1.936929941,1.952409983,
1.528319955,1.742499948,1.737969995,
1.576169968,1.758749962,1.72803998,
1.634770036,1.906180024,1.90068996,
1.785159945,1.846330047,1.824390054,
1.871090055,1.52797997,1.525020003,
2.029299974,1.651440024,1.652510047,
2.107419968,1.678940058,1.678930044,
2.237299919,1.719259977,1.716339946,
1.553709984,1.885499954,1.904299974,
1.548830032,1.966719985,1.997449994,
1.566409945,1.917219996,1.952610016,
1.643550038,1.730280042,1.769080043,
1.802729964,2.082109928,1.988899946,
1.885740042,1.77323997,1.813809991,
2.051759958,1.770529985,1.776119947,
2.135740042,1.777510047,1.784669995,
2.267580032,1.34958005,1.425390005,
1.553709984,1.86796999,1.839210033,
1.548830032,1.66099,1.674139977,
1.566409945,1.922180057,1.892169952,
1.643550038,1.876109958,1.86503005,
1.802729964,1.78271997,1.732300043,
1.885740042,1.79121995,1.791810036,
2.051759958,1.859079957,1.879150033,
2.135740042,1.813159943,1.812770009,
2.267580032,1.621780038,1.586490035,
1.616209984,2.020740032,1.966339946,
1.59375,2.427759886,2.365829945,
1.59473002,1.816499949,1.834089994,
1.648440003,1.563320041,1.65199995,
1.803709984,1.859019995,1.872789979,
1.882809997,2.096760035,2.078560114,
2.0322299,1.844449997,1.838600039,
2.111330032,1.671560049,1.690510035,
