backs,ERA5
2.916009903,1.62401998
2.393079996,1.573240042
3.140490055,1.550780058
1.369850039,1.548830032
2.375689983,1.600589991
2.22371006,1.748049974
1.787879944,1.823240042
1.632570028,1.965819955
1.696210027,2.041019917
1.73202002,2.3740201
2.099090099,2.481450081
1.842450023,1.736330032
1.684919953,1.778319955
2.15508008,1.841799974
1.696470022,1.869140029
2.471379995,1.944339991
2.116090059,2.073240042
2.576370001,2.135740042
1.801470041,2.236330032
1.279260039,2.226560116
2.051529884,2.15625
2.462359905,2.075200081
1.209830046,1.916020036
2.869390011,1.839840055
2.309089899,1.772459984
2.209850073,1.731449962
2.472579956,1.710940003
1.904260039,1.753909945
1.994629979,1.87598002
1.924880028,1.93651998
2.39357996,2.053709984
1.922780037,2.138669968
3.468029976,2.328119993
2.130379915,2.204099894
2.406589985,1.756839991
2.642230034,1.8125
2.516489983,1.841799974
3.663830042,1.869140029
1.791599989,1.944339991
1.616729975,2.073240042
2.416300058,2.135740042
1.579710007,2.236330032
1.783929944,2.226560116
2.129349947,2.15625
1.297809958,2.075200081
3.470370054,1.916020036
1.705410004,1.839840055
1.721259952,1.772459984
2.373209953,1.731449962
1.876150012,1.710940003
2.219419956,1.728520036
2.51038003,1.753909945
1.896119952,1.87598002
2.959140062,1.93651998
1.496309996,1.8125
2.418529987,1.93848002
1.453320026,2.066410065
2.272579908,2.122070074
2.040709972,2.239259958
1.872769952,2.288089991
3.144619942,2.355469942
1.44825995,2.352540016
2.569099903,2.257810116
1.745200038,2.192379951
1.781430006,2.073240042
2.353049994,2.017580032
2.349020004,1.952149987
1.933769941,1.956050038
2.952929974,1.96875
3.368469954,1.962890029
3.597729921,2.049799919
2.047339916,2.226560116
2.103410006,-9999
2.685050011,-9999
3.49180007,-9999
2.76451993,-9999
1.688860059,-9999
1.981480002,-9999
2.858340025,2.3759799
0.724614024,1.962890029
2.523699999,2.049799919
2.010620117,2.226560116
1.30874002,-9999
