MEAN,MEDIAN,PCT90,ERA5
2.245559366,2.100088477,3.079143739,1.306640029
2.412507327,2.354520798,3.071015358,1.548830032
2.453363883,2.375975728,3.055451918,1.622069955
2.37521043,2.310933113,3.053568363,1.710940003
2.247940972,2.15378499,3.053397918,1.849609971
2.294503658,2.201311588,3.052623391,1.87598002
2.403881997,2.330364466,3.05257535,1.731449962
2.39874372,2.361387134,3.050370693,1.976559997
2.298057928,2.184279203,3.049114943,2.113280058
2.327813824,2.217394829,3.048715401,1.965819955
2.291714575,2.202157974,3.046320701,1.965819955
2.403806436,2.338456035,3.045078135,1.941409945
2.379029255,2.338631868,3.044820547,1.661129951
2.30926225,2.209169149,3.042422152,2.064450026
2.452188747,2.379804373,3.038468075,1.926759958
2.282553515,2.12476635,3.034569144,1.944339991
2.229247948,2.066991091,3.033060241,1.615229964
2.319180489,2.192152739,3.031245685,1.43848002
2.377968662,2.321853161,3.029228926,1.527340055
2.228502487,2.137086391,3.026783085,1.924800038
2.193013635,2.105184078,3.014745426,1.96875
2.444248801,2.399687767,3.014032125,1.541990042
2.259667768,2.140817523,3.013392448,2.208980083
2.34600922,2.28343153,3.008886814,1.537109971
2.248423407,2.124199271,3.008078098,1.976559997
2.251136371,2.136660337,3.005237389,2.148439884
2.29731767,2.228966713,3.004912758,1.638669968
2.315965992,2.245176315,3.00428617,1.8125
2.290993899,2.197618485,2.994773149,1.505859971
2.382680786,2.316286564,2.989162683,1.74901998
2.458020677,2.403884172,2.988197565,1.622069955
2.324634198,2.241882324,2.980110359,1.93848002
2.194832755,2.118766069,2.975103331,2.327150106
2.091584831,1.949362874,2.973995543,2.38086009
2.317605964,2.260935783,2.97398448,1.520509958
2.306318377,2.222781658,2.967937756,2.053709984
2.17030771,2.051250696,2.965987301,1.784180045
2.213405868,2.071916342,2.964014173,1.595700026
2.283303456,2.178608656,2.963538265,1.891600013
2.40458232,2.365291238,2.955326557,1.417969942
2.24203083,2.140890837,2.954140186,1.888669968
2.329693831,2.257750511,2.950802112,1.505859971
2.404468331,2.362720609,2.950502396,1.523440003
2.329659625,2.280666828,2.949874306,1.819339991
2.351414001,2.315142393,2.947009087,1.46875
2.31021672,2.216788054,2.944792843,2.0322299
2.255458842,2.166875362,2.933110356,1.839840055
2.305607813,2.250056267,2.928334999,1.520509958
2.267479739,2.17841363,2.925781775,1.983399987
2.146923538,2.019317508,2.918607712,2.180660009
2.324995387,2.241513968,2.915338039,1.595700026
2.282711344,2.229261279,2.913440323,1.902340055
2.167365336,2.050403595,2.911966753,1.809569955
2.257057878,2.192519188,2.908790588,1.926759958
2.38622012,2.324844837,2.907823086,1.953119993
2.217792031,2.138787985,2.90173769,1.600589991
2.216226542,2.122258425,2.900722671,1.983399987
2.312497128,2.245743394,2.899307013,1.677729964
2.083884118,1.982756734,2.888885593,2.075200081
2.199921631,2.141229868,2.884539843,2.481450081
2.219466269,2.097251177,2.871797323,1.901370049
2.151465945,2.056662798,2.871634769,2.022459984
2.146929881,2.031650543,2.868650818,1.849609971
2.161891909,2.121568918,2.867490768,2.09375
1.999157853,1.939831138,2.863367081,2.049799919
2.157850447,2.07294631,2.859057903,1.862300038
2.168620396,2.083944082,2.858119035,1.891600013
2.097326735,1.978873491,2.853245115,1.839840055
2.224191327,2.159833193,2.847318697,1.458979964
2.187483577,2.077675223,2.847275019,2.252929926
2.233020555,2.183613062,2.84454751,1.541990042
2.1861918,2.072953701,2.843246269,2.204099894
2.082573003,1.999492407,2.84250145,1.766600013
2.257427571,2.196033239,2.840977669,1.748049974
2.104914348,2.023276091,2.83838129,1.845700026
2.264498352,2.240276694,2.836976957,1.706050038
2.194214716,2.135833502,2.833645535,1.599609971
2.22570691,2.147966862,2.833194494,1.878909945
