backs,ERA5
1.881450057,1.784180045
2.438740015,1.809569955
2.243750095,1.849609971
2.364639997,1.849609971
2.248070002,1.901370049
2.312819958,2.001950026
1.989949942,2.085939884
1.89854002,2.09375
2.09010005,2.019530058
1.796470046,1.941409945
2.151760101,1.706050038
1.922500014,1.62401998
1.92832005,1.573240042
2.066179991,1.550780058
1.660380006,1.548830032
1.859949946,1.748049974
1.834220052,1.823240042
1.863700032,1.965819955
1.571630001,2.15625
1.698410034,2.481450081
2.29569006,1.736330032
2.072329998,1.778319955
1.86669004,1.841799974
2.057630062,1.944339991
2.470809937,2.073240042
2.433530092,2.135740042
2.356139898,2.226560116
1.685570002,2.15625
1.969179988,2.075200081
1.790359974,1.916020036
2.009629965,1.772459984
1.61619997,1.731449962
2.085299969,1.710940003
1.772670031,1.753909945
1.718510032,1.87598002
1.904170036,1.93651998
1.671550035,2.053709984
1.608690023,2.138669968
1.733520031,2.328119993
2.062000036,2.496089935
1.644629955,2.204099894
2.098670006,1.756839991
2.209280014,1.8125
2.215019941,1.841799974
2.308340073,1.869140029
1.815870047,1.944339991
2.520100117,2.073240042
2.433939934,2.135740042
2.485229969,2.236330032
2.348210096,2.226560116
2.025559902,2.15625
2.045650005,2.075200081
1.891600013,1.916020036
2.009119987,1.839840055
1.816390038,1.772459984
2.073430061,1.731449962
1.791370034,1.728520036
1.846920013,1.753909945
1.873749971,1.87598002
1.822540045,1.93651998
1.88812995,1.8125
2.178260088,1.93848002
2.061229944,2.066410065
2.39538002,2.122070074
2.406290054,2.239259958
1.867339969,2.288089991
2.214649916,2.355469942
2.238990068,2.352540016
1.938719988,2.257810116
2.00199008,2.192379951
1.884119987,2.073240042
1.920220017,2.017580032
2.045209885,1.952149987
1.99477005,1.956050038
2.002929926,1.96875
2.123579979,1.962890029
2.671819925,2.049799919
2.175270081,2.226560116
2.357739925,-9999
2.522979975,-9999
2.323009968,-9999
2.228029966,-9999
1.902349949,-9999
1.889979959,-9999
2.241630077,2.3759799
2.230149984,2.049799919
2.364259958,2.226560116
2.158360004,-9999
